"date","pt","dose","coverage"
2021-03-20,"Alberta","dose_1",8.74
2021-03-20,"Alberta","dose_2",2.09
2021-03-20,"British Columbia","dose_1",8.69
2021-03-20,"British Columbia","dose_2",1.67
2021-03-20,"Yukon","dose_1",51.56
2021-03-20,"Yukon","dose_2",24.39
2021-03-20,"Northwest Territories","dose_1",50.85
2021-03-20,"Northwest Territories","dose_2",30.55
2021-03-20,"Nunavut","dose_1",30.09
2021-03-20,"Nunavut","dose_2",16.41
2021-03-27,"Newfoundland and Labrador","dose_1",9.84
2021-03-27,"Newfoundland and Labrador","dose_2",1.85
2021-03-27,"Prince Edward Island","dose_1",9.3
2021-03-27,"Prince Edward Island","dose_2",3.89
2021-03-27,"Nova Scotia","dose_1",6.52
2021-03-27,"Nova Scotia","dose_2",2.45
2021-03-27,"New Brunswick","dose_1",10.16
2021-03-27,"New Brunswick","dose_2",1.55
2021-03-27,"Quebec","dose_1",14.16
2021-03-27,"Ontario","dose_1",11.28
2021-03-27,"Ontario","dose_2",2.09
2021-03-27,"Manitoba","dose_1",8.51
2021-03-27,"Manitoba","dose_2",3.97
2021-03-27,"Saskatchewan","dose_1",11.4
2021-03-27,"Saskatchewan","dose_2",3.08
2021-03-27,"Alberta","dose_1",11.35
2021-03-27,"Alberta","dose_2",2.16
2021-03-27,"British Columbia","dose_1",11.77
2021-03-27,"British Columbia","dose_2",1.68
2021-03-27,"Yukon","dose_1",53.62
2021-03-27,"Yukon","dose_2",25.06
2021-03-27,"Northwest Territories","dose_1",54.55
2021-03-27,"Northwest Territories","dose_2",32.05
2021-03-27,"Nunavut","dose_1",33.35
2021-03-27,"Nunavut","dose_2",17.4
2021-04-03,"Newfoundland and Labrador","dose_1",15.13
2021-04-03,"Newfoundland and Labrador","dose_2",1.86
2021-04-03,"Prince Edward Island","dose_1",12.06
2021-04-03,"Prince Edward Island","dose_2",4.63
2021-04-03,"Nova Scotia","dose_1",8.45
2021-04-03,"Nova Scotia","dose_2",2.98
2021-04-03,"New Brunswick","dose_1",14.05
2021-04-03,"New Brunswick","dose_2",1.56
2021-04-03,"Quebec","dose_1",17.72
2021-04-03,"Ontario","dose_1",14.65
2021-04-03,"Ontario","dose_2",2.17
2021-04-03,"Manitoba","dose_1",10.68
2021-04-03,"Manitoba","dose_2",4.45
2021-04-03,"Saskatchewan","dose_1",15.46
2021-04-03,"Saskatchewan","dose_2",3.32
2021-04-03,"Alberta","dose_1",13.52
2021-04-03,"Alberta","dose_2",2.52
2021-04-03,"British Columbia","dose_1",15.48
2021-04-03,"British Columbia","dose_2",1.68
2021-04-03,"Yukon","dose_1",54.52
2021-04-03,"Yukon","dose_2",28.26
2021-04-03,"Northwest Territories","dose_1",55.43
2021-04-03,"Northwest Territories","dose_2",33.28
2021-04-03,"Nunavut","dose_1",34.05
2021-04-03,"Nunavut","dose_2",21.16
2021-04-10,"Newfoundland and Labrador","dose_1",19.32
2021-04-10,"Newfoundland and Labrador","dose_2",1.86
2021-04-10,"Prince Edward Island","dose_1",16.01
2021-04-10,"Prince Edward Island","dose_2",5.33
2021-04-10,"Nova Scotia","dose_1",11.78
2021-04-10,"Nova Scotia","dose_2",3.14
2021-04-10,"New Brunswick","dose_1",17.21
2021-04-10,"New Brunswick","dose_2",2
2021-04-10,"Quebec","dose_1",21.77
2021-04-10,"Quebec","dose_2",0.18
2021-04-10,"Ontario","dose_1",18.94
2021-04-10,"Ontario","dose_2",2.25
2021-04-10,"Manitoba","dose_1",15.6
2021-04-10,"Manitoba","dose_2",4.95
2021-04-10,"Saskatchewan","dose_1",21.15
2021-04-10,"Saskatchewan","dose_2",3.52
2021-04-10,"Alberta","dose_1",16.39
2021-04-10,"Alberta","dose_2",3.7
2021-04-10,"British Columbia","dose_1",19.6
2021-04-10,"British Columbia","dose_2",1.68
2021-04-10,"Yukon","dose_1",55.59
2021-04-10,"Yukon","dose_2",39.06
2021-04-10,"Northwest Territories","dose_1",56.91
2021-04-10,"Northwest Territories","dose_2",37.88
2021-04-10,"Nunavut","dose_1",34.85
2021-04-10,"Nunavut","dose_2",24.02
2021-04-17,"Newfoundland and Labrador","dose_1",23.59
2021-04-17,"Newfoundland and Labrador","dose_2",1.86
2021-04-17,"Prince Edward Island","dose_1",20.31
2021-04-17,"Prince Edward Island","dose_2",5.82
2021-04-17,"Nova Scotia","dose_1",17.53
2021-04-17,"Nova Scotia","dose_2",3.27
